name,age,lifestyle,zip_code,family_status,car,sports,earnings,living_area,label
VnSEFOuL,62,cozily,50168,married,practical,athletics,102526,urban,no response
8Tv0hcce,34,active,66479,married,expensive,soccer,33006,urban,no response
Zny9ysbk,69,healthy,16592,single,expensive,badminton,118760,urban,response
HV3xCamM,57,cozily,50068,married,practical,soccer,131429,urban,response
sflRsQ6v,66,cozily,35988,single,practical,badminton,96003,urban,response
w9voDHj0,21,healthy,60039,single,expensive,badminton,83376,urban,no response
VUkT58V5,22,healthy,69662,married,practical,badminton,49826,rural,no response
HzMvC0c1,59,cozily,40432,single,practical,soccer,41166,urban,response
B9MsYPOR,63,active,55994,single,practical,badminton,134340,urban,response
mWUY9Cjs,31,active,37460,married,practical,athletics,108695,rural,no response
Lavsf4Ms,60,cozily,36782,single,practical,,49723,rural,response
kNAihUVY,38,healthy,12447,single,expensive,soccer,105801,rural,response
FHL6d3WH,36,active,56504,married,expensive,athletics,79703,rural,no response
taO86r6P,30,cozily,84343,single,expensive,soccer,68693,rural,no response
qQSz8WWj,64,healthy,66428,single,expensive,badminton,111755,urban,no response
waFEJp2V,37,cozily,18272,married,practical,badminton,36430,rural,no response
CGEljPBt,61,cozily,24254,married,practical,soccer,129420,urban,response
xQPaw1nF,48,cozily,29470,single,expensive,badminton,78714,rural,no response
TW0vcILS,15,cozily,78136,married,expensive,soccer,87219,rural,no response
VzsFKacF,51,cozily,65878,married,expensive,,123879,urban,no response
39OUyKYK,41,cozily,15047,married,practical,athletics,137658,urban,no response
9uXUHkgm,30,cozily,87888,single,practical,athletics,89243,rural,no response
GXQC3KVx,51,active,18734,single,expensive,soccer,22977,rural,no response
I9SVyAUt,69,active,49871,married,expensive,badminton,26163,rural,response
hjEpM280,58,healthy,62849,single,expensive,soccer,59449,rural,response
H1T9XHHR,42,cozily,59763,single,expensive,soccer,131437,urban,no response
iutFmkL2,46,active,38692,single,expensive,badminton,80137,rural,no response
YbKy0PQ7,19,cozily,50378,married,practical,,98007,urban,no response
BQg9yrvw,24,active,87832,married,practical,soccer,67545,urban,no response
CDXBWyZJ,63,active,86216,single,practical,athletics,91080,urban,response
3yYxpFte,27,active,96490,married,expensive,soccer,149929,rural,response
At76h3t6,60,healthy,75536,single,practical,,54813,rural,response
elkTzJGN,41,healthy,70981,single,practical,,100388,rural,no response
qVbhy5GA,63,healthy,41117,married,expensive,athletics,116561,urban,response
F8dwyNuu,15,active,85260,married,expensive,athletics,110335,urban,no response
gxswUTWs,54,active,98387,single,expensive,,121867,urban,no response
Q2bygRVO,19,cozily,38819,single,expensive,athletics,28510,rural,no response
PXKyaUwn,59,cozily,74876,married,expensive,athletics,102274,rural,response
FnmvD5Rp,27,cozily,68083,married,expensive,badminton,77466,urban,no response
vw2p7EkR,58,active,87307,married,practical,soccer,63791,urban,response
n1XQJ0mm,50,active,12609,single,practical,athletics,103364,urban,response
66MA2Tqh,34,healthy,61340,married,expensive,,70684,rural,no response
CbG0Z3UF,53,active,89474,single,expensive,athletics,148014,urban,response
